DEP,PC1 (1),PC2 (1),PC3 (1),PC4 (1),PC5 (1),PC6 (1),PC7 (1),PC8 (1),PC9 (1),PC10 (1),PC11 (1)
"0",0.06885,-0.57123,-0.70028,-1.21424,-1.28740,-1.07759,-0.47266,1.26256,-0.36457,-0.23640,0.07969
"0",-0.79821,0.14375,0.02358,-1.13375,0.56353,-0.91232,0.38877,1.02910,-0.50485,-0.44723,-0.80072
"0",0.98586,1.15457,0.52337,-0.58504,0.47685,1.67055,0.87655,-1.25210,0.91302,-0.49763,-0.05618
"0",0.15694,-1.28880,0.98733,-2.16910,0.22629,0.41769,-1.15469,0.45044,0.53129,-1.19905,-0.87850
"0",-0.00234,-1.06435,1.04454,0.06167,-0.82739,-0.85619,-0.70848,-0.51962,0.29895,0.01475,0.27153
"0",-1.02773,2.24462,-1.68035,0.21514,0.30616,0.88820,-2.91866,0.07443,-0.07264,0.50732,-0.05238
"0",-0.55262,0.12086,-1.89160,0.27965,0.21253,-1.27610,0.56213,-0.82174,-0.03974,-0.64010,1.06199
"0",-1.45104,-0.38106,-1.11011,-0.51411,-0.59912,0.51393,-0.12865,0.56117,-0.77552,-0.84293,0.47727
"0",-0.60184,-0.10388,-0.15492,-0.75821,0.62105,0.90858,0.29168,1.06905,-1.46735,-0.41362,0.38382
"0",3.86710,0.14084,-2.00226,-1.28148,0.54835,0.35753,0.30378,-1.18096,1.12588,-0.98992,0.10823
"0",-1.26582,-0.55817,0.13771,-1.13464,-1.11298,-0.97225,-0.67386,0.21009,0.53777,0.48825,0.11120
"0",-0.10197,1.16423,0.47393,-0.19277,-0.69909,0.05245,0.34915,-1.74498,-0.23126,-0.48673,0.03162
"0",-0.01719,-2.32789,-0.64522,2.05227,0.17601,2.54883,0.09512,0.39619,0.76014,-1.30960,0.22882
