DEP,PC11 (1),PC10 (1),PC9 (1),PC8 (1),PC7 (1),PC6 (1),PC5 (1),PC4 (1),PC3 (1),PC2 (1),PC1 (2)
"0",0.00051,0.22051,0.15146,-0.58176,1.63609,-1.95470,0.39599,1.73534,-0.79219,1.84652,0.13131
"0",0.00075,0.11586,0.46606,0.22445,0.57842,-0.05485,-1.00260,0.07771,-0.69195,-0.13406,-0.21833
"0",0.00080,-0.05637,0.49601,0.52383,0.47907,0.16154,-1.26287,-0.14314,-0.72802,0.29207,-0.11319
"1",0.00029,0.21937,0.44274,0.29400,0.21199,0.06437,-0.79179,0.39011,1.20141,4.52437,0.00245
"1",-0.00199,0.01410,-0.08397,-0.12218,-0.26744,-0.80592,1.11164,1.23673,2.87473,4.13484,0.37365
"1",-0.00058,-0.16476,-0.86033,-0.71338,-0.45728,0.01867,-0.69383,-1.32776,-0.72190,-0.13219,-0.04826
"1",-0.00105,-0.15914,-1.68415,-0.58327,-0.57388,0.09587,-0.50764,-1.34445,-0.45757,-0.57807,-0.08618
"0",0.00095,-0.20791,-0.17535,0.24052,0.67647,-0.75415,-0.77730,1.29071,-1.23915,0.30160,0.10467
"0",-0.00042,-0.21534,0.06288,1.13566,0.06379,-1.24794,0.45177,0.87391,-0.80830,-0.87186,0.20877
"0",-0.00005,0.00902,0.14949,1.06128,0.09543,-1.20981,0.13423,0.87668,-1.14697,-0.41809,0.04336
"0",0.00008,0.09968,0.21606,0.86967,-0.34631,-0.33621,-0.99877,1.22146,-1.14463,-0.12193,-0.19620
"0",0.00018,-0.15299,0.38906,0.98986,0.13993,-0.87756,-0.16514,0.55403,-1.02338,-0.28987,0.11361
"1",-0.00076,-0.08611,0.14371,-0.62628,0.24644,-0.09076,0.02417,-0.79548,0.54191,-0.91581,-0.03291
"0",0.00056,0.01877,-0.15733,-0.38861,-1.22639,-0.71251,0.94294,-0.79471,0.97167,0.92621,0.12398
"1",-0.00026,0.10652,0.41272,-0.74879,0.43932,-0.89738,0.65081,-1.23274,-0.11231,-0.74678,-0.02223
"0",-0.00001,-0.06844,0.32147,-0.58906,-0.09555,0.54838,-0.96704,-0.71939,0.06237,-1.09529,-0.21225
"1",-0.00057,0.16067,-0.24082,-0.27620,-0.21113,-0.33390,0.30678,-1.31162,0.17712,-0.81749,-0.16768
"1",-0.00141,-0.15618,-0.03200,1.11899,-0.63410,-0.45039,-0.14214,-1.95269,-0.59969,2.19100,0.21483
